Time (s),Ch1,Ch2
-0.000339076,2.958762088,2.639440303
-0.000338946,2.961461162,2.641243373
-0.000338816,2.963260545,2.643046444
-0.000338686,2.963260545,2.645751049
-0.000338556,2.96685931,2.639440303
-0.000338426,2.964160236,2.634031091
-0.000338296,2.965959619,2.641243373
-0.000338166,2.970458075,2.642144908
-0.000338036,2.98035468,2.640341838
-0.000337906,2.973157149,2.642144908
-0.000337776,2.975856223,2.641243373
-0.000337646,2.975856223,2.642144908
-0.000337516,2.975856223,2.645751049
-0.000337386,2.981254371,2.652963331
-0.000337256,2.984853136,2.64935719
-0.000337126,2.982154063,2.643947979
-0.000336996,2.986652519,2.650258726
-0.000336866,2.986652519,2.658372543
-0.000336736,2.989351593,2.655667937
-0.000336606,2.982154063,2.651160261
-0.000336476,3.001947271,2.650258726
-0.000336346,2.99385005,2.652061796
-0.000336216,2.996549124,2.646652585
-0.000336086,3.001947271,2.64755412
-0.000335956,2.99385005,2.650258726
-0.000335826,2.997448815,2.651160261
-0.000335696,3.00104758,2.655667937
-0.000335566,3.008245111,2.646652585
-0.000335436,3.007345419,2.643947979
-0.000335306,2.997448815,2.642144908
-0.000335176,3.007345419,2.648455655
-0.000335046,3.012743567,2.645751049
-0.000334916,3.008245111,2.650258726
-0.000334786,3.01454295,2.657471008
-0.000334656,3.006445728,2.644849514
-0.000334526,3.016342333,2.657471008
-0.000334396,3.016342333,2.652963331
-0.000334266,3.018141715,2.64935719
-0.000334136,3.01454295,2.654766402
-0.000334006,3.020840789,2.652061796
-0.000333876,3.023539863,2.640341838
-0.000333746,3.019941098,2.645751049
-0.000333616,3.022640172,2.652061796
-0.000333486,3.022640172,2.662880219
-0.000333356,3.02803832,2.648455655
-0.000333226,3.02803832,2.650258726
-0.000333096,3.034336159,2.654766402
-0.000332966,3.031637085,2.646652585
-0.000332836,3.024439554,2.657471008
-0.000332706,3.029837702,2.64935719
-0.000332576,3.02803832,2.643046444
-0.000332446,3.037035233,2.653864867
-0.000332316,3.036135542,2.644849514
-0.000332186,3.037035233,2.650258726
-0.000332056,3.042433381,2.652963331
-0.000331926,3.037934924,2.656569472
-0.000331796,3.037934924,2.650258726
-0.000331666,3.042433381,2.653864867
-0.000331536,3.037934924,2.651160261
-0.000331406,3.038834616,2.654766402
-0.000331276,3.036135542,2.650258726
-0.000331146,3.038834616,2.646652585
-0.000331016,3.045132455,2.64935719
-0.000330886,3.047831529,2.652061796
-0.000330756,3.046032146,2.650258726
-0.000330626,3.056828442,2.653864867
-0.000330496,3.058627824,2.660175613
-0.000330366,3.055029059,2.646652585
-0.000330236,3.053229677,2.64755412
-0.000330106,3.058627824,2.64935719
-0.000329976,3.064925664,2.639440303
-0.000329846,3.061326898,2.643046444
-0.000329716,3.061326898,2.646652585
-0.000329586,3.059527516,2.643046444
-0.000329456,3.059527516,2.635834162
-0.000329326,3.064025972,2.643947979
-0.000329196,3.068524429,2.640341838
-0.000329066,3.064925664,2.641243373
-0.000328936,3.065825355,2.639440303
-0.000328806,3.079320725,2.635834162
-0.000328676,3.074822268,2.636735697
-0.000328546,3.076621651,2.652061796
-0.000328416,3.077521342,2.64755412
-0.000328286,3.070323812,2.644849514
-0.000328156,3.071223503,2.652963331
-0.000328026,3.074822268,2.645751049
-0.000327896,3.080220416,2.64935719
-0.000327766,3.085618564,2.655667937
-0.000327636,3.081120107,2.650258726
-0.000327506,3.087417947,2.652061796
-0.000327376,3.08291949,2.654766402
-0.000327246,3.082019799,2.658372543
-0.000327116,3.087417947,2.650258726
-0.000326986,3.085618564,2.652963331
-0.000326856,3.084718873,2.641243373
-0.000326726,3.083819181,2.64755412
-0.000326596,3.09641486,2.652061796
-0.000326466,3.091916403,2.642144908
-0.000326336,3.091916403,2.652061796
-0.000326206,3.091916403,2.650258726
-0.000326076,3.097314551,2.644849514
-0.000325946,3.100013625,2.654766402
-0.000325816,3.10361239,2.657471008
-0.000325686,3.105411773,2.656569472
-0.000325556,3.10361239,2.657471008
-0.000325426,3.116208069,2.658372543
-0.000325296,3.112609304,2.64755412
-0.000325166,3.113508995,2.653864867
-0.000325036,3.111709612,2.64755412
-0.000324906,3.110809921,2.652963331
-0.000324776,3.108110847,2.653864867
-0.000324646,3.116208069,2.64755412
-0.000324516,3.118007451,2.652963331
-0.000324386,3.118007451,2.651160261
-0.000324256,3.114408686,2.645751049
-0.000324126,3.11710776,2.64755412
